commit_hash,project,claude_ans,split,qualidade,commit_message,commit_message_len,diff_len,diff_lines
0c1d720111ee05faac83d7f839b0201d144b6be5,camel,Provavelmente sim,test,35,Using the one thread pool executor to fix the build   also fixed some CS errors in camel-coregit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@662969 13f79535-47bb-0310-9956-ffa450edef68n,207,6148,127
0c8634f8e9f4ce03e403c618a2cba2b3aabdc35a,camel,Provavelmente sim,train,52,improvement for CAMEL-3 so that boolean b = in - getHeader(foo  boolean - class); does not throw a NPE for a missing header; instead false is returned for missing valuesgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@544115 13f79535-47bb-0310-9956-ffa450edef68n,283,4386,93
0e1752851e104282489423f1a97cdfe21ef6321a,camel,Provavelmente sim,train,35,CAMEL-283 applied the patch with thanks to Clausgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@613770 13f79535-47bb-0310-9956-ffa450edef68n,162,2023,33
0e4ca89008fd668f7c591c968627a909682d1d54,camel,Sim,train,72,made the camel-jms module backwards compatible with older versions so older ActiveMQ releases work nicely without change on newer Camel distrosgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@633576 13f79535-47bb-0310-9956-ffa450edef68n,257,2426,57
0eb395602c39f2904097c33d2a6285d90ef35058,camel,Sim,test,62,another patch for CAMEL-213 to ensure that only valid JMS headers are sent to the JMS providergit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@594833 13f79535-47bb-0310-9956-ffa450edef68n,208,3076,80
0fe221bcd03c10c5a597da98cfc2636ff2e16a97,camel,Sim,train,40,Fixed the CS errors of componentsgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@697660 13f79535-47bb-0310-9956-ffa450edef68n,147,2644,45
10d7eba9d3d72b7cbcb982a2fa2009f80d480ee6,camel,Sim,train,52,CAMEL-1078 -   Prepare for removal of GenericFileExchange - git-svn-id: https://svn - apache - org/repos/asf/camel/trunk@789759 13f79535-47bb-0310-9956-ffa450edef68n,165,10021,170
10e3e9449c5cbc8a45baa7ea08e170f2cc0f7286,camel,Provavelmente sim,train,22,Upgraded to jruby 1 - 1 - 4git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@691628 13f79535-47bb-0310-9956-ffa450edef68n,141,3517,96
10f16dcc3b9475323deaeb017b6ebcd16cc39c7a,camel,Provavelmente sim,train,35,CAMEL-1403: Fixed a hanging test - git-svn-id: https://svn - apache - org/repos/asf/camel/trunk@748606 13f79535-47bb-0310-9956-ffa450edef68n,140,2782,64
110241f0a6e066fdaac1414f29676fb2102f88ac,camel,Provavelmente sim,test,42,add test to verify JAX-WS handlers are invoked properlygit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@744386 13f79535-47bb-0310-9956-ffa450edef68n,160,1198,24
117fbb5062f3fbbea24e9c953ba7d5db470f5da0,camel,Provavelmente sim,train,28,Fixed unit test failing on Bamboo ocationallygit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@704189 13f79535-47bb-0310-9956-ffa450edef68n,159,5829,112
13adf5d14f3d57eccc1013654d99d51061925083,camel,Sim,train,72,Fixed the unit test of IOConverterTest failed on Windows Boxgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@642864 13f79535-47bb-0310-9956-ffa450edef68n,174,1854,43
13e9b744b12ff6c6896f1113506ec0e485286877,camel,Provavelmente sim,train,40,CAMEL-1355 - improved rendering of the available type convertersgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@747055 13f79535-47bb-0310-9956-ffa450edef68n,169,3902,84
13ffebfcdc9559c84c8736bf3862f0bdb9064b20,camel,Provavelmente sim,train,30,applied patch from Martin Novu00c3u00a1k to fix a buggit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@579640 13f79535-47bb-0310-9956-ffa450edef68n,167,648,14
14c0bc54968f85717826befe2155cf6488790ffb,camel,Provavelmente sim,train,35,CAMEL-974: Polished the DataSetSedaTest - git-svn-id: https://svn - apache - org/repos/asf/camel/trunk@766288 13f79535-47bb-0310-9956-ffa450edef68n,147,4840,102
152a0702116f7ff69fc6d1b5f73f6486192a4c82,camel,Provavelmente sim,train,35,added some primitive conversionsgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@533630 13f79535-47bb-0310-9956-ffa450edef68n,146,1673,47
15782f550d2820fd9cbdda0a60c86218f3607dea,camel,Provavelmente sim,test,42,minor patch so that the browsable endpoints can easily be used with the eclipse data binding frameworkgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@620833 13f79535-47bb-0310-9956-ffa450edef68n,216,4032,98
157c0b97c5129d76080a7b13a6f3dce2fd8d6007,camel,Provavelmente sim,train,20,minor layout changegit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@643004 13f79535-47bb-0310-9956-ffa450edef68n,133,957,22
1581a2b096dd8f98eb1a880859db8d9729e7a466,camel,Provavelmente sim,train,35,CAMEL-951: Builder must be public to let the fluent builder works - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@702966 13f79535-47bb-0310-9956-ffa450edef68n,182,5610,112
1602159b7d353d7ed7517adae2f200350caf033e,camel,Sim,test,78,Use direct endpoints to avoid a race condition that fails these tests sometimesgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@789399 13f79535-47bb-0310-9956-ffa450edef68n,184,3497,76
160658871e9be7c8013526935fbede6d40703d21,camel,Sim,test,35,fixed spellinggit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@729412 13f79535-47bb-0310-9956-ffa450edef68n,128,12419,177
1722cef279344e832b30fa1d1a786c1cd549e505,camel,Provavelmente sim,train,20,Polished codegit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@700537 13f79535-47bb-0310-9956-ffa450edef68n,127,3885,57
18afae34fe37ee4fe0203c077ab26148e537b19a,camel,Provavelmente sim,test,40,applied patch for https://issues - apache - org/activemq/browse/CAMEL-256 from Roman Kalukiewicz with thanks!git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@601289 13f79535-47bb-0310-9956-ffa450edef68n,223,2429,56
18e07e61398b11bb1e9ff9bd6a5a94b506cbc836,camel,Sim,train,20,Fix typogit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@706622 13f79535-47bb-0310-9956-ffa450edef68n,122,865,13
19268306fe5387d95ae1f5b564a35fe249255220,camel,Provavelmente sim,test,30,applied patch from Steven Marcus from this thread : http://www - nabble - com/seda-broken-in-latest-snapshot-tp15510480s22882p15641995 - htmlgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@630774 13f79535-47bb-0310-9956-ffa450edef68n,255,1654,40
19289754a299ad40f5f9cfdd5c7affd4d85894e5,camel,Provavelmente sim,train,40,CAMEL-400 Added some unit tests also get the commented CAMEL-381 test workgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@691155 13f79535-47bb-0310-9956-ffa450edef68n,188,5092,112
19a1b034d44a826c85924146c9a16c726ce326b2,camel,Provavelmente sim,train,45,CAMEL-440: Documentation for CAMEL-410git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@645069 13f79535-47bb-0310-9956-ffa450edef68n,152,2300,41
19a6f3a9b69a23aa5e5ad4489e03c5e170e8964b,camel,Provavelmente sim,test,20,What is wrong with interceptorsgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@647539 13f79535-47bb-0310-9956-ffa450edef68n,145,1436,40
1afd19624ffb15d1689d633db3ec69be0b711397,camel,Provavelmente sim,train,52,CAMEL-1296: camel-ftp should condigure the endpoint with the full uri (caused by CAMEL-941) - git-svn-id: https://svn - apache - org/repos/asf/camel/trunk@738019 13f79535-47bb-0310-9956-ffa450edef68n,199,7394,122
1bb69786939cc59aec6da5708d161728516752f7,camel,Sim,train,78,Provide a better error message if process is called without the processor being startedgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@581261 13f79535-47bb-0310-9956-ffa450edef68n,201,771,14
1d5a52de30cabe66412dabcf7acb72b11447ced4,camel,Provavelmente sim,train,18,Some small enhancements suggested by William Tamgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@582282 13f79535-47bb-0310-9956-ffa450edef68n,162,2188,59
1d9f4aa0181369cfc25aa9aea83acb807229cbc2,camel,Provavelmente sim,train,20,fixed failing test casegit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@530755 13f79535-47bb-0310-9956-ffa450edef68n,137,3318,63
1e3bd835916bbbd5d8a80690868239092ee3d083,camel,Provavelmente sim,train,35,CAMEL-1781 -  Update POM and Security - java classgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@790488 13f79535-47bb-0310-9956-ffa450edef68n,155,2396,66
1e66f7b656de4e3f7374cd5d4b07eefb213b9da3,camel,Sim,train,78,CAMEL-958: wiretab examples should use multicast to stay in line with the EIP pattern as the exchange should be sent as a fixed recipent list so the wiretab is independent on the ultimate destination - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@701802 13f79535-47bb-0310-9956-ffa450edef68n,316,5878,132
1ec7f70d0106551c7a425333f2c7df922807e062,camel,Provavelmente sim,train,35,Patch for CAMEL-271 -   Applied with thanks!git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@606270 13f79535-47bb-0310-9956-ffa450edef68n,158,1382,22
1f6d3610e222c7c96add94636ae8e8f36ff25ec2,camel,Provavelmente sim,train,30,fix for https://issues - apache - org/activemq/browse/CAMEL-222git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@595266 13f79535-47bb-0310-9956-ffa450edef68n,177,2017,52
1fba0d0ad0dccaa7e557a91266934d1642c1edb6,camel,Sim,test,62,CAMEL-939 - Fix unit test that fails sometimes on slower machinesgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@706330 13f79535-47bb-0310-9956-ffa450edef68n,179,2939,56
20d675f608682579cd68a5ebf34496d548ed4f11,camel,Provavelmente sim,train,25,fix for https://issues - apache - org/activemq/browse/CAMEL-253git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@600600 13f79535-47bb-0310-9956-ffa450edef68n,177,5565,114
20edb1039c3eedcf7cf75b43871eccb32e6d8cb8,camel,Sim,train,60,CAMEL-1091 removed the IPV6 testgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@718513 13f79535-47bb-0310-9956-ffa450edef68n,146,3894,81
21165c5f6bc4e563232091e38e6f5379fee1ff63,camel,Provavelmente sim,test,52,fixed up the test case to remove some of the timing issue from it as we force the conversion to a String to happen within the route (and the HTTP servlet)git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@550444 13f79535-47bb-0310-9956-ffa450edef68n,268,2335,52
2181848c58deb7a835f2021f15eceba511744c76,camel,Provavelmente sim,train,30,CAMEL-1327 applied patch with thanks to Roberto  also update the unit tests for verificationgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@743613 13f79535-47bb-0310-9956-ffa450edef68n,197,5221,83
21dd8981d96b8fe278ef66323d2918d48a6f26b7,camel,Sim,train,62,removed old XBean referencesgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@567572 13f79535-47bb-0310-9956-ffa450edef68n,142,2999,61
220f068ee4c1f3c07cc6e03baf23bbe85eec3bc4,camel,Sim,train,62,Try to fix the AMQPRouteTest in Windows boxgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@690113 13f79535-47bb-0310-9956-ffa450edef68n,157,1004,14
22cf3516d15081749d6b6b13d3c22c564701c248,camel,Sim,test,72,Use isAssignableFrom instead of == to validat arg type compatibility (used during type conversion) - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@687770 13f79535-47bb-0310-9956-ffa450edef68n,215,2756,42
237cea47474c339e647d250a8c4ca57d21b34db6,camel,Provavelmente sim,train,35,Fix broken file strategies :-( Thx Aaron Crickenbergergit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@605128 13f79535-47bb-0310-9956-ffa450edef68n,168,5801,108
260b66b18217b59bbdd034410e39789e65687743,camel,Sim,train,62,CAMEL-1355 removed some debugging code and added some javadoc & helper codegit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@746215 13f79535-47bb-0310-9956-ffa450edef68n,180,1754,45
2655ec7a70daab78883c5ec85d16998483ee8090,camel,Provavelmente sim,train,40,applied patch for https://issues - apache - org/activemq/browse/CAMEL-199 with thanks!git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@595755 13f79535-47bb-0310-9956-ffa450edef68n,200,3025,76
26591280d82c9414cd14b2bfb3c466a2260c0e53,camel,Provavelmente não,test,30,Change the test ObjectHelper - notNull to notEmpty for testing done on field factory - getPairSeparator of the class : BindyKeyValuePairFactory - javagit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@789638 13f79535-47bb-0310-9956-ffa450edef68n,255,1896,31
267fc4f20aeafb80eac3465ee6dc62571c2ff92d,camel,Provavelmente sim,train,35,CAMEL-1245: JPA based trace eventsgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@734681 13f79535-47bb-0310-9956-ffa450edef68n,148,5186,100
2693ddff54ddaf0c640ba6177f5f9f9931415481,camel,Provavelmente sim,test,28,Fixed the CS errors in camel-coregit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@719156 13f79535-47bb-0310-9956-ffa450edef68n,147,5388,94
271097ae0ce1d27ba8254ce7d5f9a1f93300efc4,camel,Provavelmente sim,train,52,added a static content test case to check that Jerseys static content regex is working properlygit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@745042 13f79535-47bb-0310-9956-ffa450edef68n,200,3016,76
297285f771b7b468c99b886b66b5f2d5a770fb95,camel,Sim,train,52,used lower case file name by defaultgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@566528 13f79535-47bb-0310-9956-ffa450edef68n,150,814,13
2974d93342fb60d186d284a9253cec10f5c36449,camel,Provavelmente sim,train,35,applied patch for https://issues - apache - org/activemq/browse/CAMEL-207 by Roman with huge thanks!git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@601747 13f79535-47bb-0310-9956-ffa450edef68n,214,3675,66
2a95985a173a668b58af86b08423a04edfd1a79d,camel,Provavelmente sim,train,28,Updated the CxfRawMessageRouterTest with latest CXF 2 - 2 - xgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@798506 13f79535-47bb-0310-9956-ffa450edef68n,166,1336,13
2ae142f69773fda4f20a9caa63fa3d42adc1b910,camel,Sim,train,62,added a test case showing how to easily get the route definitions when running/debugging a route via the spring Maingit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@659282 13f79535-47bb-0310-9956-ffa450edef68n,230,3333,80
2af0a3d52c3ffcd13ebbced97b2f082b03efd16b,camel,Provavelmente sim,train,52,CAMEL-737: Applied patch with thanks to William Tam -  Also fixed the same problem for LogFormatter -  Polished the message if a spring - jar is needed for the JMX stuff - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@677992 13f79535-47bb-0310-9956-ffa450edef68n,286,4482,84
2af1dd4bc992e61afcb0caa32695ae4b6b9c8b5d,camel,Provavelmente sim,train,35,applied patch for CAMEL-187 with thanks!git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@586500 13f79535-47bb-0310-9956-ffa450edef68n,154,1854,33
2bceb871a702ad458eda448f9c9b8c6c8b04e947,camel,Provavelmente sim,train,52,CAMEL-1515 added isStratingFinished() method into ServiceSupport class  and it will fix the recent build errorsgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@761583 13f79535-47bb-0310-9956-ffa450edef68n,216,840,25
2bd4d7f8f2f90479aa9149bae057eec2269057e6,camel,Provavelmente sim,train,45,CAMEL-440: Documentation for CAMEL-410git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@645067 13f79535-47bb-0310-9956-ffa450edef68n,152,1606,27
2cd5347ebcbd143f3736c1375e878a87b3a78c06,camel,Sim,train,52,CAMEL-295 -   Fixed injection of RouteBuilder(s) - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@618910 13f79535-47bb-0310-9956-ffa450edef68n,165,5504,83
2d7af3e17d5c33f79890cc7993b37da1b7d60fc9,camel,Provavelmente sim,train,40,tidied up some of the default JMS configurations; for more detail see http://cwiki - apache - org/CAMEL/jms - htmlgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@545124 13f79535-47bb-0310-9956-ffa450edef68n,228,2866,58
2d8966503d99a126b9d5fffcd85e37648167fba1,camel,Provavelmente sim,train,40,added a working test case using Spring JavaConfiggit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@722600 13f79535-47bb-0310-9956-ffa450edef68n,163,1940,44
2df920e164f98749f5768296304ec5602ee1f69a,camel,Sim,test,52,added more logging to the calling of princexmlgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@642187 13f79535-47bb-0310-9956-ffa450edef68n,160,866,17
2e1ea1c53eed30e0a94787fa9025397aadb23fe6,camel,Provavelmente sim,train,35,Finally fixed the test error of CxfRawMessageRouterTest  I should go to sleep nowgit-svn-id: https://svn - apache - org/repos/asf/camel/trunk@802816 13f79535-47bb-0310-9956-ffa450edef68n,186,1492,15
2e43ef8658aa5df021f3c9773c63d4ea9ca569ae,camel,Provavelmente sim,test,35,CAMEL-126: Applied patch no 3 with thanks to Martin Krassergit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@699788 13f79535-47bb-0310-9956-ffa450edef68n,173,2912,76
2edeac3f157a30b4d484e960fbbec60a5a780b24,camel,Sim,train,52,removed wrapped exceptiongit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@534086 13f79535-47bb-0310-9956-ffa450edef68n,139,3347,91
2f588e29818f4d94419678fe9a55df704e3e7b45,camel,Provavelmente sim,train,35,CAMEL-655 Applied the patch with thanks to Don -  Also Removed the System - out - println from Jsr223Testgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@675076 13f79535-47bb-0310-9956-ffa450edef68n,219,6809,126
2f80846bb95e07deb01e95c3fa4ee972425f2f81,camel,Provavelmente sim,train,52,Trying to fix failing unit test on various platform just because of exception from tasks not properly stopped during shutdown -  Fixed wrong stop order in ftp consumer - git-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@734684 13f79535-47bb-0310-9956-ffa450edef68n,284,5939,125
30bfd8691b7694c010117ed56824e96b1ae7c307,camel,Provavelmente sim,train,42,added support for an average messages/second outputgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@644695 13f79535-47bb-0310-9956-ffa450edef68n,165,3175,83
3186ef54c15412ce660c92a227340a7b2e069e9f,camel,Provavelmente sim,train,45,CAMEL-1350 revert the changes which should not be committed - git-svn-id: https://svn - apache - org/repos/asf/camel/trunk@772966 13f79535-47bb-0310-9956-ffa450edef68n,167,2100,34
32342f91350dc41d38e5b8227b61040e3731164e,camel,Sim,test,62,ContextTestSupport supports many RouteBuilders to be tested Tests without test methods made abstract so eclipse doesnt complain when executing themgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@614007 13f79535-47bb-0310-9956-ffa450edef68n,261,3030,69
324f42f8a9529d46522945205537e6aea2b9cd40,camel,Sim,train,35,Fixed the build  by disabling the route couter verificationgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@660222 13f79535-47bb-0310-9956-ffa450edef68n,173,2258,51
33107da3713e5ffa161cacfea357f4a0274bd082,camel,Sim,test,72,CAMEL-583: Lessened the header type to let the JAXB stuff work and improved the unit test a bit - Added javadoc that MessageType is work in progressgit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@664343 13f79535-47bb-0310-9956-ffa450edef68n,262,2236,52
338037125bcfc78550e1f6dbca980229f528e845,camel,Provavelmente sim,train,38,fixed a failing test case due to mandatory flaggit-svn-id: https://svn - apache - org/repos/asf/activemq/camel/trunk@638809 13f79535-47bb-0310-9956-ffa450edef68n,161,1834,40
